id,path,x,y,w,h,xc,yc
0,collembolas/C1_1_Fe2O3002_c_000.jpg,1991,1319,54,135,2018.0,1386.5
1,collembolas/C1_1_Fe2O3002_c_001.jpg,2884,1405,155,78,2961.5,1444.0
2,collembolas/C1_1_Fe2O3002_c_002.jpg,2455,1652,111,118,2510.5,1711.0
3,collembolas/C1_1_Fe2O3002_c_003.jpg,2473,1696,132,88,2539.0,1740.0
4,collembolas/C1_1_Fe2O3002_c_004.jpg,2994,1588,181,88,3084.5,1632.0
5,collembolas/C1_1_Fe2O3002_c_005.jpg,3315,1463,85,135,3357.5,1530.5
6,collembolas/C1_1_Fe2O3002_c_006.jpg,3351,1822,168,67,3435.0,1855.5
7,collembolas/C1_1_Fe2O3002_c_007.jpg,2933,1953,108,152,2987.0,2029.0
8,collembolas/C1_1_Fe2O3002_c_008.jpg,3756,718,114,109,3813.0,772.5
9,collembolas/C1_1_Fe2O3002_c_009.jpg,3335,2066,118,149,3394.0,2140.5
10,collembolas/C1_1_Fe2O3002_c_010.jpg,3353,2217,80,162,3393.0,2298.0
11,collembolas/C1_1_Fe2O3002_c_011.jpg,3580,2550,158,168,3659.0,2634.0
12,collembolas/C1_1_Fe2O3002_c_012.jpg,4006,2091,104,100,4058.0,2141.0
13,collembolas/C1_1_Fe2O3002_c_013.jpg,4499,1985,118,91,4558.0,2030.5
14,collembolas/C1_1_Fe2O3002_c_014.jpg,4583,1898,103,72,4634.5,1934.0
15,collembolas/C1_1_Fe2O3002_c_015.jpg,4626,1779,111,69,4681.5,1813.5
16,collembolas/C1_1_Fe2O3002_c_016.jpg,5004,2152,109,42,5058.5,2173.0
17,collembolas/C1_1_Fe2O3002_c_017.jpg,4983,2517,158,106,5062.0,2570.0
18,collembolas/C1_1_Fe2O3002_c_018.jpg,4391,2666,127,122,4454.5,2727.0
19,collembolas/C1_1_Fe2O3002_c_019.jpg,5076,2621,199,180,5175.5,2711.0
20,collembolas/C1_1_Fe2O3002_c_020.jpg,5130,2754,109,109,5184.5,2808.5
21,collembolas/C1_1_Fe2O3002_c_021.jpg,5218,2625,166,119,5301.0,2684.5
22,collembolas/C1_1_Fe2O3002_c_022.jpg,5365,2444,118,240,5424.0,2564.0
23,collembolas/C1_1_Fe2O3002_c_023.jpg,5728,2293,111,201,5783.5,2393.5
24,collembolas/C1_1_Fe2O3002_c_024.jpg,5509,2408,121,126,5569.5,2471.0
25,collembolas/C1_1_Fe2O3002_c_025.jpg,5494,2298,230,193,5609.0,2394.5
26,collembolas/C1_1_Fe2O3002_c_026.jpg,5525,2242,163,54,5606.5,2269.0
27,collembolas/C1_1_Fe2O3002_c_027.jpg,5690,2031,52,134,5716.0,2098.0
28,collembolas/C1_1_Fe2O3002_c_028.jpg,5793,1957,62,47,5824.0,1980.5
29,collembolas/C1_1_Fe2O3002_c_029.jpg,6083,1990,114,126,6140.0,2053.0
30,collembolas/C1_1_Fe2O3002_c_030.jpg,6344,1902,87,83,6387.5,1943.5
31,collembolas/C1_1_Fe2O3002_c_031.jpg,6159,1564,98,67,6208.0,1597.5
32,collembolas/C1_1_Fe2O3002_c_032.jpg,6794,969,91,98,6839.5,1018.0
33,collembolas/C1_1_Fe2O3002_c_033.jpg,6822,1388,263,113,6953.5,1444.5
34,collembolas/C1_1_Fe2O3002_c_034.jpg,6030,2414,72,153,6066.0,2490.5
35,collembolas/C1_1_Fe2O3002_c_035.jpg,5977,2501,78,96,6016.0,2549.0
36,collembolas/C1_1_Fe2O3002_c_036.jpg,5968,2571,108,78,6022.0,2610.0
37,collembolas/C1_1_Fe2O3002_c_037.jpg,5990,2661,189,52,6084.5,2687.0
38,collembolas/C1_1_Fe2O3002_c_038.jpg,5961,2802,90,122,6006.0,2863.0
39,collembolas/C1_1_Fe2O3002_c_039.jpg,5429,3036,119,114,5488.5,3093.0
40,collembolas/C1_1_Fe2O3002_c_040.jpg,6131,2718,36,98,6149.0,2767.0
41,collembolas/C1_1_Fe2O3002_c_041.jpg,6154,2674,77,230,6192.5,2789.0
42,collembolas/C1_1_Fe2O3002_c_042.jpg,5654,3093,132,104,5720.0,3145.0
43,collembolas/C1_1_Fe2O3002_c_043.jpg,5867,3128,96,157,5915.0,3206.5
44,collembolas/C1_1_Fe2O3002_c_044.jpg,5700,3201,88,142,5744.0,3272.0
45,collembolas/C1_1_Fe2O3002_c_045.jpg,5500,3280,181,91,5590.5,3325.5
46,collembolas/C1_1_Fe2O3002_c_046.jpg,5434,3369,142,39,5505.0,3388.5
47,collembolas/C1_1_Fe2O3002_c_047.jpg,4399,3061,72,193,4435.0,3157.5
48,collembolas/C1_1_Fe2O3002_c_048.jpg,4337,3331,139,162,4406.5,3412.0
49,collembolas/C1_1_Fe2O3002_c_049.jpg,4936,3203,155,122,5013.5,3264.0
50,collembolas/C1_1_Fe2O3002_c_050.jpg,4885,3477,113,242,4941.5,3598.0
51,collembolas/C1_1_Fe2O3002_c_051.jpg,4911,3375,116,196,4969.0,3473.0
52,collembolas/C1_1_Fe2O3002_c_052.jpg,4976,3630,75,153,5013.5,3706.5
53,collembolas/C1_1_Fe2O3002_c_053.jpg,5011,3403,140,214,5081.0,3510.0
54,collembolas/C1_1_Fe2O3002_c_054.jpg,5013,3330,145,211,5085.5,3435.5
55,collembolas/C1_1_Fe2O3002_c_055.jpg,5127,3283,127,204,5190.5,3385.0
56,collembolas/C1_1_Fe2O3002_c_056.jpg,5093,3397,144,183,5165.0,3488.5
57,collembolas/C1_1_Fe2O3002_c_057.jpg,6492,2313,191,59,6587.5,2342.5
58,collembolas/C1_1_Fe2O3002_c_058.jpg,6599,2140,114,194,6656.0,2237.0
59,collembolas/C1_1_Fe2O3002_c_059.jpg,6790,2228,237,70,6908.5,2263.0
60,collembolas/C1_1_Fe2O3002_c_060.jpg,6937,2166,240,96,7057.0,2214.0
61,collembolas/C1_1_Fe2O3002_c_061.jpg,7154,2109,57,189,7182.5,2203.5
62,collembolas/C1_1_Fe2O3002_c_062.jpg,7456,1962,135,104,7523.5,2014.0
63,collembolas/C1_1_Fe2O3002_c_063.jpg,7616,2254,36,101,7634.0,2304.5
64,collembolas/C1_1_Fe2O3002_c_064.jpg,7652,2068,145,186,7724.5,2161.0
65,collembolas/C1_1_Fe2O3002_c_065.jpg,7995,1657,160,193,8075.0,1753.5
66,collembolas/C1_1_Fe2O3002_c_066.jpg,8421,1653,116,103,8479.0,1704.5
67,collembolas/C1_1_Fe2O3002_c_067.jpg,8436,2391,129,104,8500.5,2443.0
68,collembolas/C1_1_Fe2O3002_c_068.jpg,6702,2528,147,230,6775.5,2643.0
69,collembolas/C1_1_Fe2O3002_c_069.jpg,6454,2701,42,103,6475.0,2752.5
70,collembolas/C1_1_Fe2O3002_c_070.jpg,6307,2799,171,91,6392.5,2844.5
71,collembolas/C1_1_Fe2O3002_c_071.jpg,6353,2754,222,237,6464.0,2872.5
72,collembolas/C1_1_Fe2O3002_c_072.jpg,6563,2871,122,98,6624.0,2920.0
73,collembolas/C1_1_Fe2O3002_c_073.jpg,6434,2967,70,176,6469.0,3055.0
74,collembolas/C1_1_Fe2O3002_c_074.jpg,6782,2669,69,212,6816.5,2775.0
75,collembolas/C1_1_Fe2O3002_c_075.jpg,6714,2855,119,87,6773.5,2898.5
76,collembolas/C1_1_Fe2O3002_c_076.jpg,6774,2852,114,114,6831.0,2909.0
77,collembolas/C1_1_Fe2O3002_c_077.jpg,6922,2756,96,178,6970.0,2845.0
78,collembolas/C1_1_Fe2O3002_c_078.jpg,6983,2754,126,108,7046.0,2808.0
79,collembolas/C1_1_Fe2O3002_c_079.jpg,7086,2713,87,165,7129.5,2795.5
80,collembolas/C1_1_Fe2O3002_c_080.jpg,7143,2763,118,168,7202.0,2847.0
81,collembolas/C1_1_Fe2O3002_c_081.jpg,7257,2545,116,194,7315.0,2642.0
