id_collembole,x,y,w,h,path_slike
C1_1_Fe2O3002_c_000,1991,1319,54,135,collembolas\C1_1_Fe2O3002_c_000.jpg
C1_1_Fe2O3002_c_001,2884,1405,155,78,collembolas\C1_1_Fe2O3002_c_001.jpg
C1_1_Fe2O3002_c_002,2455,1652,111,118,collembolas\C1_1_Fe2O3002_c_002.jpg
C1_1_Fe2O3002_c_003,2473,1696,132,88,collembolas\C1_1_Fe2O3002_c_003.jpg
C1_1_Fe2O3002_c_004,2994,1588,181,88,collembolas\C1_1_Fe2O3002_c_004.jpg
C1_1_Fe2O3002_c_005,3315,1463,85,135,collembolas\C1_1_Fe2O3002_c_005.jpg
C1_1_Fe2O3002_c_006,3351,1822,168,67,collembolas\C1_1_Fe2O3002_c_006.jpg
C1_1_Fe2O3002_c_007,2933,1953,108,152,collembolas\C1_1_Fe2O3002_c_007.jpg
C1_1_Fe2O3002_c_008,3756,718,114,109,collembolas\C1_1_Fe2O3002_c_008.jpg
C1_1_Fe2O3002_c_009,3335,2066,118,149,collembolas\C1_1_Fe2O3002_c_009.jpg
C1_1_Fe2O3002_c_010,3353,2217,80,162,collembolas\C1_1_Fe2O3002_c_010.jpg
C1_1_Fe2O3002_c_011,3580,2550,158,168,collembolas\C1_1_Fe2O3002_c_011.jpg
C1_1_Fe2O3002_c_012,4006,2091,104,100,collembolas\C1_1_Fe2O3002_c_012.jpg
C1_1_Fe2O3002_c_013,4499,1985,118,91,collembolas\C1_1_Fe2O3002_c_013.jpg
C1_1_Fe2O3002_c_014,4583,1898,103,72,collembolas\C1_1_Fe2O3002_c_014.jpg
C1_1_Fe2O3002_c_015,4626,1779,111,69,collembolas\C1_1_Fe2O3002_c_015.jpg
C1_1_Fe2O3002_c_016,5004,2152,109,42,collembolas\C1_1_Fe2O3002_c_016.jpg
C1_1_Fe2O3002_c_017,4983,2517,158,106,collembolas\C1_1_Fe2O3002_c_017.jpg
C1_1_Fe2O3002_c_018,4391,2666,127,122,collembolas\C1_1_Fe2O3002_c_018.jpg
C1_1_Fe2O3002_c_019,5076,2621,199,180,collembolas\C1_1_Fe2O3002_c_019.jpg
C1_1_Fe2O3002_c_020,5130,2754,109,109,collembolas\C1_1_Fe2O3002_c_020.jpg
C1_1_Fe2O3002_c_021,5218,2625,166,119,collembolas\C1_1_Fe2O3002_c_021.jpg
C1_1_Fe2O3002_c_022,5365,2444,118,240,collembolas\C1_1_Fe2O3002_c_022.jpg
C1_1_Fe2O3002_c_023,5728,2293,111,201,collembolas\C1_1_Fe2O3002_c_023.jpg
C1_1_Fe2O3002_c_024,5509,2408,121,126,collembolas\C1_1_Fe2O3002_c_024.jpg
C1_1_Fe2O3002_c_025,5494,2298,230,193,collembolas\C1_1_Fe2O3002_c_025.jpg
C1_1_Fe2O3002_c_026,5525,2242,163,54,collembolas\C1_1_Fe2O3002_c_026.jpg
C1_1_Fe2O3002_c_027,5690,2031,52,134,collembolas\C1_1_Fe2O3002_c_027.jpg
C1_1_Fe2O3002_c_028,5793,1957,62,47,collembolas\C1_1_Fe2O3002_c_028.jpg
C1_1_Fe2O3002_c_029,6083,1990,114,126,collembolas\C1_1_Fe2O3002_c_029.jpg
C1_1_Fe2O3002_c_030,6344,1902,87,83,collembolas\C1_1_Fe2O3002_c_030.jpg
C1_1_Fe2O3002_c_031,6159,1564,98,67,collembolas\C1_1_Fe2O3002_c_031.jpg
C1_1_Fe2O3002_c_032,6794,969,91,98,collembolas\C1_1_Fe2O3002_c_032.jpg
C1_1_Fe2O3002_c_033,6822,1388,263,113,collembolas\C1_1_Fe2O3002_c_033.jpg
C1_1_Fe2O3002_c_034,6030,2414,72,153,collembolas\C1_1_Fe2O3002_c_034.jpg
C1_1_Fe2O3002_c_035,5977,2501,78,96,collembolas\C1_1_Fe2O3002_c_035.jpg
C1_1_Fe2O3002_c_036,5968,2571,108,78,collembolas\C1_1_Fe2O3002_c_036.jpg
C1_1_Fe2O3002_c_037,5990,2661,189,52,collembolas\C1_1_Fe2O3002_c_037.jpg
C1_1_Fe2O3002_c_038,5961,2802,90,122,collembolas\C1_1_Fe2O3002_c_038.jpg
C1_1_Fe2O3002_c_039,5429,3036,119,114,collembolas\C1_1_Fe2O3002_c_039.jpg
C1_1_Fe2O3002_c_040,6131,2718,36,98,collembolas\C1_1_Fe2O3002_c_040.jpg
C1_1_Fe2O3002_c_041,6154,2674,77,230,collembolas\C1_1_Fe2O3002_c_041.jpg
C1_1_Fe2O3002_c_042,5654,3093,132,104,collembolas\C1_1_Fe2O3002_c_042.jpg
C1_1_Fe2O3002_c_043,5867,3128,96,157,collembolas\C1_1_Fe2O3002_c_043.jpg
C1_1_Fe2O3002_c_044,5700,3201,88,142,collembolas\C1_1_Fe2O3002_c_044.jpg
C1_1_Fe2O3002_c_045,5500,3280,181,91,collembolas\C1_1_Fe2O3002_c_045.jpg
C1_1_Fe2O3002_c_046,5434,3369,142,39,collembolas\C1_1_Fe2O3002_c_046.jpg
C1_1_Fe2O3002_c_047,4399,3061,72,193,collembolas\C1_1_Fe2O3002_c_047.jpg
C1_1_Fe2O3002_c_048,4337,3331,139,162,collembolas\C1_1_Fe2O3002_c_048.jpg
C1_1_Fe2O3002_c_049,4936,3203,155,122,collembolas\C1_1_Fe2O3002_c_049.jpg
C1_1_Fe2O3002_c_050,4885,3477,113,242,collembolas\C1_1_Fe2O3002_c_050.jpg
C1_1_Fe2O3002_c_051,4911,3375,116,196,collembolas\C1_1_Fe2O3002_c_051.jpg
C1_1_Fe2O3002_c_052,4976,3630,75,153,collembolas\C1_1_Fe2O3002_c_052.jpg
