label,centroid_x_um,centroid_y_um,length_um,width_um,length_mm,volume_um3,volume_mm3,area_um2,mask_path
1,65636.9966833386,669.0334631024194,3288.4503649279363,3121.8796,3.2884503649279364,8193161820.311484,8.193161820311484,2938204.7185835475,out/guided_masks/guided_mask_1.png
2,65267.21797933692,1215.171344179749,2972.96070663134,2185.31572,2.97296070663134,7025636260.917096,7.025636260917096,4026191.3172737923,out/guided_masks/guided_mask_2.png
3,65327.20075651768,489.08497878585183,1946.6397442368939,1828.52948,1.946639744236894,1951913976.749377,1.951913976749377,1453742.808487595,out/guided_masks/guided_mask_3.png
4,64948.219375215005,480.46805908467553,1877.8666403931036,1754.1990133333334,1.8778666403931035,1724589345.215678,1.724589345215678,1385895.584072014,out/guided_masks/guided_mask_4.png
5,64359.41054669369,715.2906632806021,3152.870831774156,3077.28132,3.1528708317741563,8329296498.856454,8.329296498856454,3925635.9846708956,out/guided_masks/guided_mask_5.png
6,64278.643332511725,1270.5505747476952,2712.9417338907965,2215.0479066666667,2.7129417338907964,6072378707.076699,6.072378707076699,3643860.052651789,out/guided_masks/guided_mask_6.png
7,63650.11298622768,1063.3290301025204,2728.3866063724704,2259.646186666667,2.7283866063724704,6041154620.362904,6.041154620362904,3873037.8106939956,out/guided_masks/guided_mask_7.png
8,63597.77345241466,543.8937594832458,1793.549198216581,1724.4668266666667,1.793549198216581,1990689919.5963664,1.9906899195963663,1642256.4320266524,out/guided_masks/guided_mask_8.png
9,63280.06523243446,730.6687292157501,3463.7997466666666,3463.7997466666666,3.4637997466666666,10739866178.977148,10.739866178977149,4074811.4780927757,out/guided_masks/guided_mask_9.png
10,63260.62167419552,534.337368472063,2051.4090682661135,1977.1904133333335,2.0514090682661137,2464776180.9437046,2.4647761809437045,1927568.375741685,out/guided_masks/guided_mask_10.png
11,63021.36687806414,943.3621533873683,2828.0066921223706,2438.0393066666666,2.8280066921223708,6893870993.437799,6.893870993437799,3762758.445927302,out/guided_masks/guided_mask_11.png
12,62576.692530668864,478.6279492227328,2233.961449782531,2200.1818133333336,2.233961449782531,2901371519.155101,2.901371519155101,1875633.2039577712,out/guided_masks/guided_mask_12.png
13,62446.24042684031,862.9758742943625,3325.0109027252865,3181.3439733333335,3.3250109027252863,10714098695.373713,10.714098695373712,3699331.2361316285,out/guided_masks/guided_mask_13.png
14,62155.07925598161,523.1276185087047,2263.6504727750043,2244.7800933333333,2.263650472775004,3412418869.5406537,3.412418869540654,2018399.6761807853,out/guided_masks/guided_mask_14.png
15,61833.7176544165,715.0157246861996,3290.6499629948758,3225.9422533333336,3.2906499629948756,10368564292.107769,10.368564292107768,3416892.3019195357,out/guided_masks/guided_mask_15.png
16,61857.81679135148,659.2909375485654,3914.6916320949963,3775.987706666667,3.9146916320949963,12652066681.765055,12.652066681765055,4053816.408648215,out/guided_masks/guided_mask_16.png
17,61691.01274909147,524.1520575384427,2710.14055419662,2646.1646133333334,2.71014055419662,4905369219.855424,4.905369219855424,2404929.954691701,out/guided_masks/guided_mask_17.png
18,61239.341153529414,640.3339638291757,3170.371640524833,3092.1474133333336,3.170371640524833,7888995762.442123,7.888995762442123,2870357.494167967,out/guided_masks/guided_mask_18.png
19,60848.66511093841,478.86719854618565,2481.1669362660728,2378.5749333333333,2.4811669362660727,3655167178.0880656,3.6551671780880657,1905247.3019111517,out/guided_masks/guided_mask_19.png
